Kabupaten/Kota,Tahun,Indeks Kedalaman Kemiskinan
Boven Digoel,2018,4.38
Boven Digoel,2019,4.52
Boven Digoel,2020,3.54
Boven Digoel,2021,3.67
Boven Digoel,2022,4.57
Boven Digoel,2023,4.5
Boven Digoel,2024,3.96
Boyolali,2018,1.26
Boyolali,2019,1.02
Boyolali,2020,1.3
Boyolali,2021,1.76
Boyolali,2022,1.13
Boyolali,2023,1.02
Boyolali,2024,1.56
Brebes,2018,3.51
Brebes,2019,2.31
Brebes,2020,3.01
Brebes,2021,3.04
Brebes,2022,2.73
Brebes,2023,2.98
Brebes,2024,2.5
Buleleng,2018,0.62
Buleleng,2019,0.72
Buleleng,2020,0.53
Buleleng,2021,0.74
Buleleng,2022,0.6
Buleleng,2023,0.53
Buleleng,2024,0.72
Bulukumba,2018,1.06
Bulukumba,2019,0.6
Bulukumba,2020,0.71
Bulukumba,2021,1.0
Bulukumba,2022,0.99
Bulukumba,2023,1.16
Bulukumba,2024,0.85
Bulungan,2018,1.25
Bulungan,2019,1.64
Bulungan,2020,1.32
Bulungan,2021,1.56
Bulungan,2022,1.59
Bulungan,2023,0.84
Bulungan,2024,1.4
Bungo,2018,0.62
Bungo,2019,0.81
Bungo,2020,0.72
Bungo,2021,0.92
Bungo,2022,0.81
Bungo,2023,0.59
Bungo,2024,0.4
Buol,2018,2.15
Buol,2019,2.89
Buol,2020,1.97
Buol,2021,2.01
Buol,2022,1.79
Buol,2023,1.63
Buol,2024,2.2
Buru,2018,2.8
Buru,2019,3.39
Buru,2020,2.91
Buru,2021,3.52
Buru,2022,3.61
Buru,2023,3.07
Buru,2024,2.47
Buru Selatan,2018,1.65
Buru Selatan,2019,2.07
Buru Selatan,2020,2.14
Buru Selatan,2021,2.36
Buru Selatan,2022,2.13
Buru Selatan,2023,2.27
Buru Selatan,2024,2.34
Buton,2018,2.08
Buton,2019,1.87
Buton,2020,1.94
Buton,2021,1.84
Buton,2022,1.25
Buton,2023,1.93
Buton,2024,1.68
Buton Selatan,2018,3.32
Buton Selatan,2019,2.38
Buton Selatan,2020,1.82
Buton Selatan,2021,1.87
Buton Selatan,2022,2.12
Buton Selatan,2023,2.0
Buton Selatan,2024,1.97
Buton Tengah,2018,1.23
Buton Tengah,2019,1.64
Buton Tengah,2020,1.91
Buton Tengah,2021,2.14
Buton Tengah,2022,1.81
Buton Tengah,2023,1.72
Buton Tengah,2024,1.82
Buton Utara,2018,1.95
Buton Utara,2019,1.63
Buton Utara,2020,2.34
Buton Utara,2021,2.46
Buton Utara,2022,2.66
Buton Utara,2023,2.13
Buton Utara,2024,3.12
Ciamis,2018,1.18
Ciamis,2019,0.76
Ciamis,2020,0.92
Ciamis,2021,0.88
Ciamis,2022,1.07
Ciamis,2023,0.9
Ciamis,2024,0.99
Cianjur,2018,1.34
Cianjur,2019,0.74
Cianjur,2020,1.38
Cianjur,2021,1.83
Cianjur,2022,1.35
Cianjur,2023,1.29
Cianjur,2024,1.58
Cilacap,2018,1.87
Cilacap,2019,1.28
Cilacap,2020,0.95
Cilacap,2021,1.48
Cilacap,2022,1.47
Cilacap,2023,1.54
Cilacap,2024,1.59
Cirebon,2018,2.04
Cirebon,2019,1.29
Cirebon,2020,1.3
Cirebon,2021,1.94
Cirebon,2022,2.27
Cirebon,2023,1.98
Cirebon,2024,1.69
Dairi,2018,1.77
Dairi,2019,0.96
Dairi,2020,1.09
Dairi,2021,1.24
Dairi,2022,0.65
Dairi,2023,0.93
Dairi,2024,0.79
Deiyai,2018,6.92
Deiyai,2019,7.79
Deiyai,2020,11.44
Deiyai,2021,3.79
Deiyai,2022,6.99
Deiyai,2023,6.43
Deiyai,2024,4.76
Deli Serdang,2018,0.6
Deli Serdang,2019,0.47
Deli Serdang,2020,0.55
Deli Serdang,2021,0.56
Deli Serdang,2022,0.62
Deli Serdang,2023,0.34
Deli Serdang,2024,0.41
Demak,2018,2.09
Demak,2019,1.61
Demak,2020,1.97
Demak,2021,2.32
Demak,2022,1.68
Demak,2023,1.83
Demak,2024,1.95
Dharmasraya,2018,0.7
Dharmasraya,2019,0.89
Dharmasraya,2020,0.71
Dharmasraya,2021,0.75
Dharmasraya,2022,0.74
Dharmasraya,2023,0.42
Dharmasraya,2024,0.64
Dogiyai,2018,5.75
Dogiyai,2019,6.3
Dogiyai,2020,5.55
Dogiyai,2021,3.68
Dogiyai,2022,6.07
Dogiyai,2023,4.82
Dogiyai,2024,6.1
Dompu,2018,1.59
Dompu,2019,1.62
Dompu,2020,1.65
Dompu,2021,1.33
Dompu,2022,1.49
Dompu,2023,1.84
Dompu,2024,1.62
Donggala,2018,3.04
Donggala,2019,2.86
Donggala,2020,3.01
Donggala,2021,2.76
Donggala,2022,2.82
Donggala,2023,2.65
Donggala,2024,3.0
Empat Lawang,2018,1.73
Empat Lawang,2019,1.87
Empat Lawang,2020,1.89
Empat Lawang,2021,1.84
Empat Lawang,2022,1.98
Empat Lawang,2023,1.15
Empat Lawang,2024,1.51
Ende,2018,5.47
Ende,2019,4.22
Ende,2020,4.54
Ende,2021,6.39
Ende,2022,4.8
Ende,2023,3.59
Ende,2024,4.44
Enrekang,2018,1.84
Enrekang,2019,1.7
Enrekang,2020,1.61
Enrekang,2021,1.35
Enrekang,2022,1.97
Enrekang,2023,1.96
Enrekang,2024,1.89
Fakfak,2018,6.32
Fakfak,2019,4.87
Fakfak,2020,5.87
Fakfak,2021,6.11
Fakfak,2022,5.33
Fakfak,2023,4.92
Fakfak,2024,4.6
Flores Timur,2018,1.21
Flores Timur,2019,1.16
Flores Timur,2020,1.61
Flores Timur,2021,1.32
Flores Timur,2022,1.54
Flores Timur,2023,1.74
Flores Timur,2024,1.38
Garut,2018,1.49
Garut,2019,0.87
Garut,2020,0.97
Garut,2021,1.4
Garut,2022,1.81
Garut,2023,1.17
Garut,2024,1.41
Gayo Lues,2018,3.61
Gayo Lues,2019,3.95
Gayo Lues,2020,2.44
Gayo Lues,2021,2.76
Gayo Lues,2022,2.67
Gayo Lues,2023,3.13
Gayo Lues,2024,2.76
Gianyar,2018,0.43
Gianyar,2019,0.27
Gianyar,2020,0.57
Gianyar,2021,0.51
Gianyar,2022,0.69
Gianyar,2023,0.42
Gianyar,2024,0.49
Gorontalo,2018,2.67
Gorontalo,2019,3.27
Gorontalo,2020,3.95
Gorontalo,2021,4.43
Gorontalo,2022,3.51
Gorontalo,2023,3.97
Gorontalo,2024,3.41
Gorontalo Utara,2018,3.51
Gorontalo Utara,2019,2.24
Gorontalo Utara,2020,2.09
Gorontalo Utara,2021,2.32
Gorontalo Utara,2022,3.15
Gorontalo Utara,2023,2.69
Gorontalo Utara,2024,3.41
Gowa,2018,1.25
Gowa,2019,0.92
Gowa,2020,1.18
Gowa,2021,1.38
Gowa,2022,1.13
Gowa,2023,0.72
Gowa,2024,0.67
Gresik,2018,1.79
Gresik,2019,2.21
Gresik,2020,2.51
Gresik,2021,2.15
Gresik,2022,2.17
Gresik,2023,1.63
Gresik,2024,1.58
Grobogan,2018,1.67
Grobogan,2019,0.9
Grobogan,2020,1.17
Grobogan,2021,1.66
Grobogan,2022,1.95
Grobogan,2023,1.48
Grobogan,2024,1.9
Gunung Kidul,2018,3.84
Gunung Kidul,2019,2.58
Gunung Kidul,2020,2.68
Gunung Kidul,2021,2.98
Gunung Kidul,2022,2.63
Gunung Kidul,2023,2.71
Gunung Kidul,2024,2.56
Gunung Mas,2018,0.87
Gunung Mas,2019,0.99
Gunung Mas,2020,0.75
Gunung Mas,2021,0.53
Gunung Mas,2022,0.99
Gunung Mas,2023,0.49
Gunung Mas,2024,0.48
Halmahera Barat,2018,1.33
Halmahera Barat,2019,0.87
Halmahera Barat,2020,0.86
Halmahera Barat,2021,1.19
Halmahera Barat,2022,1.34
Halmahera Barat,2023,1.58
Halmahera Barat,2024,1.49
Halmahera Selatan,2018,0.65
Halmahera Selatan,2019,0.43
Halmahera Selatan,2020,0.45
Halmahera Selatan,2021,0.61
Halmahera Selatan,2022,0.77
Halmahera Selatan,2023,0.88
Halmahera Selatan,2024,0.53
Halmahera Tengah,2018,1.81
Halmahera Tengah,2019,1.42
Halmahera Tengah,2020,1.73
Halmahera Tengah,2021,1.99
Halmahera Tengah,2022,1.36
Halmahera Tengah,2023,1.8
Halmahera Tengah,2024,1.73
Halmahera Timur,2018,2.95
Halmahera Timur,2019,1.93
Halmahera Timur,2020,1.9
Halmahera Timur,2021,2.62
Halmahera Timur,2022,1.94
Halmahera Timur,2023,2.55
Halmahera Timur,2024,1.49
Halmahera Utara,2018,0.45
Halmahera Utara,2019,0.38
Halmahera Utara,2020,0.38
Halmahera Utara,2021,0.48
Halmahera Utara,2022,0.47
Halmahera Utara,2023,0.42
Halmahera Utara,2024,0.48
Hulu Sungai Selatan,2018,0.71
Hulu Sungai Selatan,2019,0.72
Hulu Sungai Selatan,2020,0.51
Hulu Sungai Selatan,2021,0.45
Hulu Sungai Selatan,2022,0.49
Hulu Sungai Selatan,2023,0.69
Hulu Sungai Selatan,2024,0.34
Hulu Sungai Tengah,2018,0.67
Hulu Sungai Tengah,2019,0.85
Hulu Sungai Tengah,2020,0.43
Hulu Sungai Tengah,2021,0.53
Hulu Sungai Tengah,2022,0.75
Hulu Sungai Tengah,2023,0.63
Hulu Sungai Tengah,2024,0.75
Hulu Sungai Utara,2018,1.14
Hulu Sungai Utara,2019,0.66
Hulu Sungai Utara,2020,0.85
Hulu Sungai Utara,2021,0.76
Hulu Sungai Utara,2022,0.86
Hulu Sungai Utara,2023,0.63
Hulu Sungai Utara,2024,0.54
Humbang Hasundutan,2018,1.0
Humbang Hasundutan,2019,0.96
Humbang Hasundutan,2020,1.29
Humbang Hasundutan,2021,1.25
Humbang Hasundutan,2022,1.4
Humbang Hasundutan,2023,0.99
Humbang Hasundutan,2024,0.78
Indragiri Hilir,2018,1.27
Indragiri Hilir,2019,1.24
Indragiri Hilir,2020,0.96
Indragiri Hilir,2021,0.9
Indragiri Hilir,2022,0.73
Indragiri Hilir,2023,0.68
Indragiri Hilir,2024,0.84
Indragiri Hulu,2018,0.94
Indragiri Hulu,2019,0.84
Indragiri Hulu,2020,0.78
Indragiri Hulu,2021,0.81
Indragiri Hulu,2022,1.01
Indragiri Hulu,2023,1.14
Indragiri Hulu,2024,0.61
Indramayu,2018,2.23
Indramayu,2019,1.66
Indramayu,2020,2.18
Indramayu,2021,2.46
Indramayu,2022,1.72
Indramayu,2023,2.2
Indramayu,2024,2.05
Intan Jaya,2018,11.72
Intan Jaya,2019,8.73
Intan Jaya,2020,8.0
Intan Jaya,2021,5.92
Intan Jaya,2022,5.27
Intan Jaya,2023,14.01
Intan Jaya,2024,12.46
Jayapura,2018,2.11
Jayapura,2019,2.67
Jayapura,2020,2.04
Jayapura,2021,2.42
Jayapura,2022,3.08
Jayapura,2023,2.12
Jayapura,2024,3.26
Jayawijaya,2018,12.72
Jayawijaya,2019,15.11
Jayawijaya,2020,12.54
Jayawijaya,2021,12.89
Jayawijaya,2022,12.01
Jayawijaya,2023,9.37
Jayawijaya,2024,7.85
Jember,2018,1.45
Jember,2019,1.22
Jember,2020,1.42
Jember,2021,1.58
Jember,2022,1.08
Jember,2023,1.17
Jember,2024,1.01
Jembrana,2018,0.57
Jembrana,2019,0.59
Jembrana,2020,0.39
Jembrana,2021,0.63
Jembrana,2022,0.73
Jembrana,2023,0.38
Jembrana,2024,0.36
Jeneponto,2018,2.63
Jeneponto,2019,2.02
Jeneponto,2020,2.6
Jeneponto,2021,1.64
Jeneponto,2022,2.54
Jeneponto,2023,2.23
Jeneponto,2024,1.48
Jepara,2018,0.71
Jepara,2019,0.64
Jepara,2020,0.6
Jepara,2021,0.88
Jepara,2022,1.22
Jepara,2023,1.01
Jepara,2024,0.71
Jombang,2018,1.34
Jombang,2019,1.77
Jombang,2020,1.73
Jombang,2021,1.55
Jombang,2022,1.19
Jombang,2023,1.15
Jombang,2024,0.9
Kaimana,2018,3.4
Kaimana,2019,4.02
Kaimana,2020,2.36
Kaimana,2021,2.83
Kaimana,2022,3.32
Kaimana,2023,3.13
Kaimana,2024,3.17
Kampar,2018,1.1
Kampar,2019,0.93
Kampar,2020,0.77
Kampar,2021,0.99
Kampar,2022,1.1
Kampar,2023,0.72
Kampar,2024,0.91
Kapuas,2018,0.79
Kapuas,2019,0.56
Kapuas,2020,0.78
Kapuas,2021,0.55
Kapuas,2022,0.82
Kapuas,2023,0.73
Kapuas,2024,0.6
Kapuas Hulu,2018,1.34
Kapuas Hulu,2019,0.94
Kapuas Hulu,2020,1.52
Kapuas Hulu,2021,0.94
Kapuas Hulu,2022,1.41
Kapuas Hulu,2023,1.51
Kapuas Hulu,2024,0.78
Karang Asem,2018,0.83
Karang Asem,2019,0.75
Karang Asem,2020,0.52
Karang Asem,2021,0.64
Karang Asem,2022,0.84
Karang Asem,2023,0.62
Karang Asem,2024,0.56
Karanganyar,2018,1.7
Karanganyar,2019,1.45
Karanganyar,2020,1.56
Karanganyar,2021,1.61
Karanganyar,2022,1.64
Karanganyar,2023,1.22
Karanganyar,2024,1.63
Karawang,2018,1.21
Karawang,2019,1.06
Karawang,2020,1.28
Karawang,2021,1.27
Karawang,2022,1.58
Karawang,2023,1.06
Karawang,2024,1.18
Karimun,2018,0.7
Karimun,2019,0.6
Karimun,2020,0.59
Karimun,2021,1.14
Karimun,2022,0.78
Karimun,2023,0.53
Karimun,2024,0.99
Karo,2018,0.95
Karo,2019,0.88
Karo,2020,1.39
Karo,2021,1.23
Karo,2022,1.13
Karo,2023,1.17
Karo,2024,0.81
Katingan,2018,0.54
Katingan,2019,0.94
Katingan,2020,0.51
